name,type,status,latitude,longitude,address,country,zip,timeZone
"DFO9","Delivery Station","Active","38.20467","-122.26795","300 Boone Drive, American Canyon, CA","United States","94503","America/Los_Angeles (UTC:-07:00)"
"DFR2","Delivery Station","Active","-27.61366","-48.65401","863 Rua Senador Carlos Gomes de Oliveira, SÃ£o JosÃ©","Brazil","88104-785","America/Sao_Paulo (UTC:-03:00)"
"DFT4","Delivery Station","Active","33.8026","-84.44802","1700 Thomas St NW, Atlanta, GA","United States","30318","America/New_York (UTC:-04:00)"
"DFV1","Delivery Station","Active","45.94381","12.72824","Via Maestri del Lavoro, no. 34, Fiume Veneto","Italy","33080","Europe/Rome (UTC:+02:00)"
"DFV2","Delivery Station","Active","46.09165","13.25047","Via Liguria, Udine (UD)","Italy","IT33010","Europe/Rome (UTC:+02:00)"
"DFW5","MbA","Active","33.02017","-96.84978","4121 International Parkway, Carrollton, TX","United States","75007","America/Chicago (UTC:-05:00)"
"DFW6","AR Non Sortable","Active","32.95799","-97.01698","940 W. Bethel Road, Coppell, TX","United States","75019","America/Chicago (UTC:-05:00)"
"DFW7","AR Sortable","Active","32.97076","-97.33504","700 Westport Parkway, Fort Worth, TX","United States","76177","America/Chicago (UTC:-05:00)"
"DFX3","Delivery Station","Active","33.94953","-118.38238","5760 96th Street, Los Angeles, CA","United States","90045","America/Los_Angeles (UTC:-07:00)"
"DFX4","Delivery Station","Active","34.47387","-117.33101","15272 Bear Valley Rd, Victorville, CA","United States","92395","America/Los_Angeles (UTC:-07:00)"
"DFX9","Delivery Station","Active","33.74578","-118.03933","14952 Bolsa Chica St, Huntington Beach, CA","United States","92647","America/Los_Angeles (UTC:-07:00)"
"DGA1","Delivery Station","Active","43.30498","-8.29526","Rua Isaac Peral, 14, 15650, Cambre, La CoruÃ±a","Spain","15650","Europe/Madrid (UTC:+02:00)"
"DGA2","Delivery Station","Active","42.10119","-8.61884","PolÃ­gono Industrial de A Granxa, O PorriÃ±o","Spain","36475","Europe/Madrid (UTC:+02:00)"
"DGB6","Delivery Station","Idle","33.13428","-117.23137","3266 Lionshead Avenue, Carlsbad, CA","United States","92010","America/Los_Angeles (UTC:-07:00)"
"DGC3","Delivery Station","Active","35.56931","-97.48038","1803E Britton RD, Oklahoma City, OK","United States","73131","America/Chicago (UTC:-05:00)"
